ID_ESTABLECIMIENTO,Nombre del Establecimiento,Cadena Hotelera,Titular - Propiedad,CIF,País,Comunidad Autónoma,Isla,Municipio,Dirección Completa,Habitaciones,Plazas,Responsable Local,Cargo Local,Email Local,Responsable Corp,Cargo Corp,Email Corp,Edificio Prioritario,Servicio A01,Servicio A02,Servicio A03,Fecha Apertura,Fecha Cierre,STATUS
HS-001,100 Montaditos Carlos V Ibiza,Quimicral,,,Spain,Balearic Islands,Ibiza,Eivissa,"C/ de Carles V, s/n, 07800 Eivissa, Illes Balears, España",250,250,,,,,,,NO,SI,SI,SI,,,Activo
HS-002,100 Montaditos FAN Mallorca,Quimicral,,,Spain,Balearic Islands,Mallorca,Palma,"Carrer del Cardenal Rossell, 60, 49, Playa de Palma, 07007 Palma, Balearic Islands",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-003,100 Montaditos Marratxi,Quimicral,,,Spain,Balearic Islands,Mallorca,Marratxinet,"Carrer Gerrers, 52, 07141 Marratxinet, Illes Balears",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-004,100 Montaditos Plaza Lorca,Quimicral,,,Spain,Balearic Islands,Mallorca,Palma,"Pl. d'Espanya, 1, Centre, 07002 Palma, Illes Balears",0,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-005,45 Times Barcelona Hotel,Palladium,,,Spain,Catalonia,,Barcelona,"Pl. de Catalunya, 10, L'Eixample, 08002 Barcelona",65,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-006,Abora Buenaventura,Lopesan Hotels,,,Spain,Canary Islands,Gran Canaria,San Bartolomé de Tirajana,"Calle Gánigo, 6, 35100 San Bartolomé de Tirajana, Las Palmas",724,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-007,Abora Catarina,Lopesan Hotels,,,Spain,Canary Islands,Gran Canaria,Maspalomas,"Av. de Tirajana, 1, 35100 Maspalomas, Las Palmas",404,0,,,,,,,NO,NO,NO,NO,,,Activo
HS-008,Abora Continental,Lopesan Hotels,,,Spain,Canary Islands,Gran Canaria,Maspalomas,"Av. de Italia, 2, 35100 Maspalomas, Las Palmas",369,0,,,,,,,NO,SI,SI,SI,,,Activo
HS-009,Abora Interclub,Lopesan Hotels,,,Spain,Canary Islands,Gran Canaria,San Bartolomé de Tirajana,"C. los Jazmines, 2, 35100 San Bartolomé de Tirajana, Las Palmas",408,0,,,,,,,NO,SI,SI,SI,,,Activo
HS-010,AC Baqueira Ski Resort,AC Hoteles - Grupo Belagua,,,Spain,Cataluña,,Baqueira,"Avenida Perimetral S/N Urb Val De Ruda, 25598 Baqueira, Lleida",141,0,,,,,,,NO,NO,NO,NO,,,Activo
